date,market,manufacturer,brand,sub_brand,package,package_type,capacity_number,sales_value,sales_hectoliters,numeric_distribution_stores_handling,avg_price_per_liter,inventory_hectoliters,weighted_distribution_tdp_reach
9/22/2022,market1,ABI,brand1,sub_brand1,BOTELLA,RETORNABLE,330,58370920448,60317.96875,25.87024689,9677.203125,29216.7168,61.91730118
9/22/2022,market1,manufacturer2,brand2,sub_brand2,LATA,NO RETORNABLE,900,123093.7969,0.064300001,0.0008647,19148.13672,0,0.0052
9/22/2022,market1,ABI,brand3,sub_brand3,BOTELLA,RETORNABLE,750,2418429,4.534599781,0.066693507,5333.333496,27.31430054,0.098200001
9/22/2022,market1,manufacturer3,brand4,sub_brand2,BOTELLA,NO RETORNABLE,500,12826407,5.427800179,0.065984577,23630.78516,1.022400022,1.0704
9/22/2022,market1,manufacturer4,brand5,sub_brand2,LATA,NO RETORNABLE,330,1211512576,1487.748535,0.43704769,8143.261719,0,0.630699992
9/22/2022,market1,manufacturer5,brand6,sub_brand2,BOTELLA,NO RETORNABLE,330,658234.5,0.197099999,0.0045397,33403.42188,0,0.143299997
9/22/2022,market1,ABI,brand7,sub_brand4,LATA,NO RETORNABLE,269,848148032,572.6403198,1.168331742,14811.18164,283.9146118,5.474299908
9/22/2022,market1,manufacturer6,brand8,sub_brand2,LATA,NO RETORNABLE,330,32379212,80.77469635,0.01513232,4008.583008,0,0.953299999
9/22/2022,market1,manufacturer7,brand9,sub_brand2,BOTELLA,NO RETORNABLE,330,47968032,31.60650063,0.061041608,15176.6543,0,0.823099971
9/22/2022,market1,manufacturer7,brand9,sub_brand2,BOTELLA,NO RETORNABLE,650,4781962,2.951699972,0.02313664,16200.57813,0.420599997,0.664499998
9/22/2022,market1,manufacturer8,brand10,sub_brand2,LATA,NO RETORNABLE,330,4886477,1.763800025,0.01783218,27705.01172,0.443800002,0.386299998
9/22/2022,market1,manufacturer3,brand11,sub_brand2,BOTELLA,NO RETORNABLE,330,40326296,10.01189995,0.036396772,40278.21875,1.319800019,0.985000014
9/22/2022,market1,ABI,brand3,sub_brand3,LATA,NO RETORNABLE,296,180669.7188,0.242300004,0.00021618,7456.601074,0,1.00E-04
9/22/2022,market1,ABI,brand12,sub_brand3,LATA,NO RETORNABLE,355,80830520,108.1330032,0.192030758,7475.105469,162.4207001,0.157600001
9/22/2022,market1,manufacturer9,brand13,sub_brand2,BOTELLA,NO RETORNABLE,750,5157448,1.326400042,0.00734998,38882.52344,0,0.26030001
9/22/2022,market1,manufacturer10,brand14,sub_brand5,BOTELLA,RETORNABLE,330,3921705472,5325.507324,3.648531199,7364.003418,4378.221191,9.03219986
9/22/2022,market1,ABI,brand15,sub_brand3,BOTELLA,RETORNABLE,300,284743296,177.0579987,0.0216414,16081.92188,233.2127991,0.060600001
9/22/2022,market1,manufacturer10,brand14,sub_brand3,LATA,NO RETORNABLE,473,9564514304,15126.34082,6.929595947,6323.085449,6374.785645,9.647199631
9/22/2022,market1,ABI,brand16,sub_brand6,LATA,NO RETORNABLE,330,6860341,8.08880043,0.0110315,8481.267578,7.526400089,0.0095
9/22/2022,market1,manufacturer10,brand17,sub_brand3,LATA,NO RETORNABLE,269,1569913472,1851.443481,3.562467098,8479.402344,2040.792236,9.674699783
9/22/2022,market1,manufacturer8,brand18,sub_brand2,BOTELLA,NO RETORNABLE,330,3971765.25,1.35679996,0.01242778,29273.14063,0.177499995,0.532899976
9/22/2022,market1,ABI,brand1,sub_brand7,BOTELLA,NO RETORNABLE,330,18151982,21.72240067,0.097054213,8356.341797,13.88770008,0.316500008
9/22/2022,market1,ABI,brand7,sub_brand4,BOTELLA,NO RETORNABLE,330,275188288,208.0863037,0.957178354,13224.71875,140.3661957,5.784800053
9/22/2022,market1,manufacturer11,brand19,sub_brand3,BOTELLA,NO RETORNABLE,500,39476500,11.02740002,0.01371734,35798.45313,3.863899946,0.495799989
9/22/2022,market1,manufacturer10,brand20,sub_brand3,LATA,NO RETORNABLE,330,2521401088,2423.612793,3.431005239,10403.48047,1953.492065,10.38570023
9/22/2022,market1,manufacturer12,brand21,sub_brand8,BOTELLA,NO RETORNABLE,330,80464712,69.84210205,0.30399549,11520.93848,166.5818939,2.200099945
