target_sku,other_sku,manufacturer,elasticity
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ABI,-0.04946093
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,POKER CTE LATA NO RETORNABLE 330.0,ABI,0.002929509
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,AGUILA FUSION LATA NO RETORNABLE 269.0,ABI,0.002851774
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,COSTENA BACANA LATA NO RETORNABLE 269.0,ABI,0.003000034
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,AGUILA IMPERIAL BOTELLA NO RETORNABLE 330.0,ABI,0
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA NO RETORNABLE 330.0,ABI,0.002917582
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,COSTENA CTE BOTELLA RETORNABLE 750.0,ABI,0.002822593
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,COSTENA CTE LATA NO RETORNABLE 330.0,ABI,0.002912499
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,AGUILA LIGHT LATA NO RETORNABLE 473.0,ABI,0.002970109
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,AGUILA CTE LATA NO RETORNABLE 330.0,ABI,0.002917189
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,COSTENA BACANA LATA NO RETORNABLE 473.0,ABI,0
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CLUB COLOMBIA DOBLE MALTA BOTELLA RETORNABLE 330.0,ABI,0.002987206
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,BOGOTA BEER COMPANY ROSE BOTELLA NO RETORNABLE 330.0,ABI,0.002959381
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,STELLA ARTOIS T. LATA NO RETORNABLE 330.0,ABI,0.002999004
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,POKER CTE LATA NO RETORNABLE 355.0,ABI,0.003089828
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,PILSEN CTE BOTELLA RETORNABLE 300.0,ABI,0.002905594
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,POKER CTE BOTELLA RETORNABLE 330.0,ABI,0.002878313
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,BOGOTA BEER COMPANY ROSE LATA NO RETORNABLE 269.0,ABI,0.002959381
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,COSTENA BACANA BOTELLA RETORNABLE 320.0,ABI,0.00276836
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,REDD'S CTE LATA NO RETORNABLE 269.0,ABI,0.00060637
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,AGUILA CTE LATA NO RETORNABLE 355.0,ABI,0.003000455
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,COSTENITA CTE BOTELLA RETORNABLE 175.0,ABI,0.000813269
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,PILSEN CTE BOTELLA RETORNABLE 1000.0,ABI,0.002989262
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,BOGOTA BEER COMPANY MONSERRATE BOTELLA NO RETORNABLE 330.0,ABI,0.00290562
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CLUB COLOMBIA ROJA LATA NO RETORNABLE 330.0,ABI,0.003165523
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,PILSEN CTE LATA NO RETORNABLE 355.0,ABI,0.002691526
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,AGUILA 0 LATA NO RETORNABLE 355.0,ABI,0.003076916
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,POKER LIGERA BOTELLA RETORNABLE 330.0,ABI,0.003141897
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CORONA CERO LATA NO RETORNABLE 269.0,ABI,0
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CLUB COLOMBIA OKTOBERFEST BOTELLA RETORNABLE 330.0,ABI,0.002821947
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,POKER CTE BOTELLA RETORNABLE 750.0,ABI,0.00313168
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,AGUILA IMPERIAL BOTELLA RETORNABLE 330.0,ABI,0
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,BUDWEISER T. LATA NO RETORNABLE 269.0,ABI,0.002742255
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,STELLA ARTOIS T. BARRIL NO RETORNABLE null.0,ABI,0.002820233
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,POKER CTE BOTELLA NO RETORNABLE 330.0,ABI,0.002836877
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,PILSEN CTE LATA NO RETORNABLE 473.0,ABI,0.003137137
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,AGUILA CTE BOTELLA RETORNABLE 250.0,ABI,0.002683676
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CLUB COLOMBIA OKTOBERFEST LATA NO RETORNABLE 330.0,ABI,0.002984706
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,AGUILA CERO BOTELLA RETORNABLE 330.0,ABI,0.000557495
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,POKER CTE LATA NO RETORNABLE 473.0,ABI,0.000999488
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CLUB COLOMBIA NEGRA LATA NO RETORNABLE 355.0,ABI,0.002876019
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,BUDWEISER T. LATA NO RETORNABLE 355.0,ABI,0.003053145
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,BOGOTA BEER COMPANY OTRAS BARRIL NO RETORNABLE null.0,ABI,0.003038909
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CORONITA EXTRA BOTELLA NO RETORNABLE 207.0,ABI,0.002992218
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,BUDWEISER T. BOTELLA NO RETORNABLE 250.0,ABI,0.002922164
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,POKER LIGERA LATA NO RETORNABLE 330.0,ABI,0.002876876
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CLUB COLOMBIA NEGRA BOTELLA RETORNABLE 330.0,ABI,0.002840873
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CLUB COLOMBIA PREMIUM/EXTRA FINA LATA NO RETORNABLE 330.0,ABI,0.002968302
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CUSQUENA CTE BOTELLA NO RETORNABLE 310.0,ABI,0.002814396
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,POKER CTE BOTELLA RETORNABLE 250.0,ABI,0.002982101
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CORONA EXTRA BOTELLA NO RETORNABLE 210.0,ABI,0.00022063
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,POKER CTE BOTELLA RETORNABLE 1000.0,ABI,0.002866799
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,BECK'S CTE LATA NO RETORNABLE 330.0,ABI,0.002866259
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,PILSEN CTE BOTELLA RETORNABLE 330.0,ABI,0.003087875
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CLUB COLOMBIA TRIGO BOTELLA NO RETORNABLE 330.0,ABI,0.002865432
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,POKER PURA MALTA LATA NO RETORNABLE 330.0,ABI,0.002713358
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,AGUILA CERO LATA NO RETORNABLE 330.0,ABI,0.002897346
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CORONA EXTRA BOTELLA RETORNABLE 330.0,ABI,0.002844955
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CLUB COLOMBIA ROJA BOTELLA NO RETORNABLE 330.0,ABI,0.00282275
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CLUB COLOMBIA PREMIUM/EXTRA FINA LATA NO RETORNABLE 355.0,ABI,0.000244369
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,AGUILA LIGHT LATA NO RETORNABLE 269.0,ABI,0.002252787
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,COSTENA CTE BOTELLA RETORNABLE 1000.0,ABI,0
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,STELLA ARTOIS T. BOTELLA NO RETORNABLE 330.0,ABI,0.002831884
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,REDD'S CTE BOTELLA NO RETORNABLE 250.0,ABI,0.002812881
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CORONA CERO BOTELLA NO RETORNABLE 330.0,ABI,0.001997771
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CLUB COLOMBIA NEGRA BOTELLA NO RETORNABLE 330.0,ABI,0.002888821
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CLUB COLOMBIA ROJA BOTELLA RETORNABLE 330.0,ABI,0.003122121
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CLUB COLOMBIA NEGRA LATA NO RETORNABLE 330.0,ABI,0.002864135
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,AZTECA CTE LATA NO RETORNABLE 330.0,ABI,0.002771344
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CLUB COLOMBIA DOBLE MALTA LATA NO RETORNABLE 330.0,ABI,0.002261255
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,AGUILA LIGHT LATA NO RETORNABLE 330.0,ABI,0.002901709
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,BOGOTA BEER COMPANY LA COTIDIANA LATA NO RETORNABLE 269.0,ABI,0.002951833
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,NATIVA T. BOTELLA RETORNABLE 330.0,ABI,0.002555224
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,AGUILA CERO LATA NO RETORNABLE 355.0,ABI,0.002844839
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,AGUILA LIGHT BOTELLA RETORNABLE 250.0,ABI,0.002948646
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,COSTENA BACANA LATA NO RETORNABLE 330.0,ABI,0.002786019
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,STELLA ARTOIS T. LATA NO RETORNABLE 250.0,ABI,0.002295981
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,PILSEN CTE LATA NO RETORNABLE 330.0,ABI,0.002773429
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,BECK'S CTE BOTELLA NO RETORNABLE 275.0,ABI,0.002263601
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,COSTENA CTE BOTELLA RETORNABLE 330.0,ABI,0.003164279
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CLUB COLOMBIA PREMIUM/EXTRA FINA LATA NO RETORNABLE 473.0,ABI,0.002902895
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CORONITA EXTRA BOTELLA NO RETORNABLE 210.0,ABI,0.002842382
