target_sku,other_sku,manufacturer,elasticity
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,COLA & POLA LIMONADA DE COCO LATA NO RETORNABLE 330.0,manufacturer46,0.003027874
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA COLOMBIANA CTE BOTELLA NO RETORNABLE 1500.0,manufacturer10,0
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,COLA & POLA CTE BOTELLA NO RETORNABLE 330.0,manufacturer46,0.002975237
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,COLA & POLA LIMA LIMON LATA NO RETORNABLE 330.0,manufacturer46,0.002847544
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,COLA & POLA CTE BOTELLA NO RETORNABLE 400.0,manufacturer46,0.002975237
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,COLA & POLA LULO LATA NO RETORNABLE 330.0,manufacturer46,0.001953404
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA COLOMBIANA CTE LATA NO RETORNABLE 310.0,manufacturer10,0.002852171
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,COLA & POLA CTE BOTELLA RETORNABLE 330.0,manufacturer46,0.002722028
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,COLA & POLA ROJA BOTELLA RETORNABLE 330.0,manufacturer46,0.001179285
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,COLA & POLA CTE BOTELLA NO RETORNABLE 1500.0,manufacturer46,0.003117442
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA COLOMBIANA CTE BOTELLA NO RETORNABLE 330.0,manufacturer10,0
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,COLA & POLA CTE LATA NO RETORNABLE 330.0,manufacturer46,0.002881644
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA CTE LATA NO RETORNABLE 310.0,manufacturer10,0.002893578
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,OTRAS MARCAS ESPECIAL LATA NO RETORNABLE 330.0,manufacturer22,0.002857349
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,BITBURGER T. BOTELLA NO RETORNABLE 500.0,manufacturer3,0.002851318
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ERDINGER DUNKEL BOTELLA NO RETORNABLE 330.0,manufacturer11,0.0029573
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,WEIDMANN T. LATA NO RETORNABLE 500.0,manufacturer4,0.002870163
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA LIGHT LATA NO RETORNABLE 310.0,manufacturer10,0.002984988
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ERDINGER CTE LATA NO RETORNABLE 500.0,manufacturer11,0.002848232
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,MILLER LITE BOTELLA NO RETORNABLE 300.0,manufacturer10,0.002902002
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA LIGHT LATA NO RETORNABLE 330.0,manufacturer10,0.001887167
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA CTE LATA NO RETORNABLE 473.0,manufacturer10,0.002895859
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HEINEKEN CTE LATA NO RETORNABLE 250.0,manufacturer10,0.002842742
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA LIGHT BOTELLA NO RETORNABLE 300.0,manufacturer10,0.001787753
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,DUVEL T. BOTELLA NO RETORNABLE 750.0,manufacturer9,0.002763791
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,BITBURGER T. BOTELLA NO RETORNABLE 330.0,manufacturer3,0.002888491
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,POLA DEL PUB CTE LATA NO RETORNABLE 330.0,manufacturer21,0.002942567
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,OTRAS MARCAS T. BOTELLA NO RETORNABLE 355.0,manufacturer22,0.002581781
