year_month,sku,reference_volume,reference_price,capacity,markup,discount,excise,vilc,nr,maco,segment,sellin_sku,sellout_volume,reference_price_unit,
2024-01,AGUILA 0 BOTELLA RETORNABLE 330.0,-0.21,5151.515152,330,0.393442623,0,0,23955.6798,-65240.64171,-41284.96191,Core,Aguila 0.0% RB 330,77.27469635,1700,330
2024-02,AGUILA 0 BOTELLA RETORNABLE 330.0,-0.12,5151.515152,330,0.393442623,0,0,14039.8991,-37280.36669,-23240.46759,Core,Aguila 0.0% RB 330,65.97470093,1700,330
2024-03,AGUILA 0 BOTELLA RETORNABLE 330.0,-0.04,5151.515152,330,0.393442623,0,0,4547.6631,-12426.7889,-7879.125797,Core,Aguila 0.0% RB 330,55.40169907,1700,330
2024-04,AGUILA 0 BOTELLA RETORNABLE 330.0,-0.19,5151.515152,330,0.393442623,0,0,22431.23626,-59027.24726,-36596.01101,Core,Aguila 0.0% RB 330,46.7507019,1700,330
2024-05,AGUILA 0 BOTELLA RETORNABLE 330.0,-0.14,5151.515152,330,0.363636426,0,0,16174.7733,-44444.44242,-28269.66912,Core,Aguila 0.0% RB 330,15.45909977,1700,330
2024-06,AGUILA 0 BOTELLA RETORNABLE 330.0,30.59,5151.515152,330,0.363636426,-0.012523814,-0.000241641,-3531686.927,9587143.929,6055457.002,Core,Aguila 0.0% RB 330,49.92290115,1700,330
2024-07,AGUILA 0 BOTELLA RETORNABLE 330.0,248.06,5151.515152,330,0.363636426,-0.009386974,0.000181472,-28544988.53,78024276.82,49479288.29,Core,Aguila 0.0% RB 330,191.5823975,1700,330
2024-08,AGUILA 0 BOTELLA RETORNABLE 330.0,162.71,5151.515152,330,0.363636426,-0.007814889,0,-19018028.02,51250295.9,32232267.88,Core,Aguila 0.0% RB 330,207.0830994,1700,330
2024-09,AGUILA 0 BOTELLA RETORNABLE 330.0,92.41,5151.515152,330,0.363636426,-0.006787485,0,-10823495.5,29137385.49,18313889.99,Core,Aguila 0.0% RB 330,263.973114,1700,330
2024-10,AGUILA 0 BOTELLA RETORNABLE 330.0,58.83,5151.515152,330,0.363636426,-0.009609437,0,-6938844.207,18496721.97,11557877.76,Core,Aguila 0.0% RB 330,158.4631958,1700,330
2024-11,AGUILA 0 BOTELLA RETORNABLE 330.0,0.15,5151.515152,330,0.363636426,-0.019132741,0,-21896.5548,46707.96258,24811.40778,Core,Aguila 0.0% RB 330,189.4668372,1700,330
2024-12,AGUILA 0 BOTELLA RETORNABLE 330.0,0,5151.515152,330,0.363636426,0,0,0,0,0,Core,Aguila 0.0% RB 330,73.52926921,1700,330
2025-02,AGUILA 0 BOTELLA RETORNABLE 330.0,-0.04,5151.515152,330,0.363636426,0,0,6172.480941,-12698.41212,-6525.93118,Core,Aguila 0.0% RB 330,68.48245229,1700,330
2025-04,AGUILA 0 BOTELLA RETORNABLE 330.0,1.48,5151.515152,330,0.363636426,-0.018696243,0,-178444.5028,461056.9822,282612.4794,Core,Aguila 0.0% RB 330,69.02806961,1700,330
2025-05,AGUILA 0 BOTELLA RETORNABLE 330.0,194.25,5151.515152,330,0.363636426,-0.012449778,0,-26924332.91,60898927.61,33974594.7,Core,Aguila 0.0% RB 330,39.90537498,1700,330
2025-06,AGUILA 0 BOTELLA RETORNABLE 330.0,160.95,5151.515152,330,0.363636426,-0.010368203,0,-22521534.34,50565469.99,28043935.65,Core,Aguila 0.0% RB 330,85.31960656,1700,330
2025-07,AGUILA 0 BOTELLA RETORNABLE 330.0,118.4,5151.515152,330,0.363636426,-0.016745579,0,-16766498.86,36957878.77,20191379.92,Core,Aguila 0.0% RB 330,153.5384623,1700,330
2025-08,AGUILA 0 BOTELLA RETORNABLE 330.0,79.63,5151.515152,330,0.363636426,-0.012651958,0,-11016611.69,24959530.48,13942918.79,Core,Aguila 0.0% RB 330,199.3425732,1700,330
2024-01,AGUILA 0 LATA NO RETORNABLE 330.0,-22.12,5151.515152,330,0.363636426,0.040489272,0.000137212,5395275.728,-7307510.088,-1912234.36,Core,Aguila 0.0% CAN 330,599.8590698,1700,330
2024-02,AGUILA 0 LATA NO RETORNABLE 330.0,-17.01,6060.606061,330,0.215190068,0.021001958,8.65899E-06,4124170.822,-7278794.443,-3154623.621,Core,Aguila 0.0% CAN 330,230.3860931,2000,330
2024-03,AGUILA 0 LATA NO RETORNABLE 330.0,958.13,6060.606061,330,0.215190068,-0.149699704,-0.000527773,-230934135.5,341233771.6,110299636.2,Core,Aguila 0.0% CAN 330,194.4933929,2000,330
2024-04,AGUILA 0 LATA NO RETORNABLE 330.0,906.29,6060.606061,330,0.215190068,-0.186519375,-0.000610234,-217951888.8,308754556.7,90802667.89,Core,Aguila 0.0% CAN 330,314.5628967,2000,330
2024-05,AGUILA 0 LATA NO RETORNABLE 330.0,1580.81,6060.606061,330,0.215190068,-0.31364004,-0.000401885,-382300863.1,454466766.8,72165903.63,Core,Aguila 0.0% CAN 330,546.7028809,2000,330
2024-06,AGUILA 0 LATA NO RETORNABLE 330.0,964.7,6060.606061,330,0.215190068,-0.339268925,-0.00018093,-233696771,267068676.2,33371905.24,Core,Aguila 0.0% CAN 330,621.1085815,2000,330
2024-07,AGUILA 0 LATA NO RETORNABLE 330.0,1095.75,6060.606061,330,0.215190068,-0.156245289,0.000135246,-265456601.8,387545038.2,122088436.5,Core,Aguila 0.0% CAN 330,948.0302734,2000,330
2024-08,AGUILA 0 LATA NO RETORNABLE 330.0,896.88,6060.606061,330,0.215190068,-0.201386356,0,-217865278.9,300189811.6,82324532.71,Core,Aguila 0.0% CAN 330,767.3513794,2000,330
2024-09,AGUILA 0 LATA NO RETORNABLE 330.0,629.27,6060.606061,330,0.215190068,-0.128671857,0,-152437089.5,229796628.4,77359538.93,Core,Aguila 0.0% CAN 330,716.7655029,2000,330
