year_month,sku,reference_volume,reference_price
2025-04,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 300.0,8.400639687,17075.97461
2025-05,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 300.0,17.44846507,22979.42188
2025-06,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 300.0,24.92241251,22231.83008
2025-07,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 300.0,41.48758918,23247.02734
2025-08,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 300.0,51.45499093,24650.83789
2024-01,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0,4.305799961,13884.45215
2024-02,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0,7.96239996,18310.56641
2024-03,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0,11.9538002,22216.50195
2024-04,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0,13.31579971,21161.20508
2024-05,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0,13.19120026,22724.25977
2024-06,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0,13.23349953,22382.30664
2024-07,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0,20.42830086,19065.36133
2024-08,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0,22.23920059,18713.16016
2024-09,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0,17.5734005,20111.30078
2024-10,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0,18.19540024,18313.625
2024-11,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0,25.97119621,16458.25
2024-12,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0,34.93726618,16961.16797
2025-01,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0,41.99304244,19989.73047
2025-02,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0,55.5313176,22814.5957
2025-03,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0,37.22391035,20572.58984
2025-04,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0,22.52319395,25582.73047
2025-05,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0,14.17504301,26594.4082
2025-06,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0,9.872247696,22257.9707
2025-07,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0,9.033420564,27644.23047
2025-08,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0,5.998890022,24063.95508
2025-03,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 300.0,1.119667085,18659.05078
2025-04,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 300.0,52.25410411,18836.29883
2025-05,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 300.0,65.39696044,19355.41211
2025-06,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 300.0,73.76674998,18789.16992
2025-07,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 300.0,84.13752073,20734.21875
2025-08,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 300.0,89.94341818,19759.37891
2024-01,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,185.3811035,16484.17773
2024-02,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,158.3773956,17127.54492
2024-03,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,167.5614929,17414.05273
2024-04,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,123.9813004,17545.38477
2024-05,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,134.9859009,16416.20898
2024-06,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,125.4475021,17142.56445
2024-07,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,133.9360046,17227.90625
2024-08,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,127.5472031,20339.11523
2024-09,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,136.6143951,18072.44727
2024-10,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,151.095993,18273.99805
2024-11,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,112.522996,18854.91211
2024-12,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,153.1493796,18090.92383
2025-01,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,162.8336683,17385.59961
2025-02,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,190.6836221,18250.91406
2025-03,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,180.1431101,18059.12109
2025-04,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,86.98511673,18279.88672
2025-05,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,79.6285262,18888.45508
2025-06,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,84.58955019,16398.32813
2025-07,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,94.63843953,17231.01953
2025-08,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,102.8856652,14521.89551
2025-03,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 300.0,34.26871154,64404.45703
2025-04,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 300.0,53.37369434,18083.99609
2025-05,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 300.0,96.72402402,18584.84961
2025-06,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 300.0,73.16564105,18493.75391
2025-07,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 300.0,88.58185515,19037.09961
2025-08,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 300.0,158.1110297,26110.82813
2024-01,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0,196.0308075,20471.00586
2024-02,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0,141.3330994,18253.16211
2024-03,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0,166.9532928,19023.22266
2024-04,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0,144.969101,19622.39648
2024-05,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0,137.2317047,17522.51758
2024-06,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0,135.7313995,17100.98047
2024-07,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0,133.5301971,19460.14258
2024-08,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0,112.7462006,21171.23633
2024-09,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0,120.1787033,19485.87695
2024-10,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0,129.4109039,17311.18555
2024-11,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0,125.3271114,17627.90234
2024-12,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0,193.6164929,16605.25977
2025-01,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0,119.0250259,15822.41504
2025-02,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0,110.1087369,16854.83398
2025-03,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0,136.161487,17796.88672
2025-04,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0,76.21321206,17987.67383
2025-05,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0,41.69685813,19606.16211
2025-06,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0,45.29620821,19840.1543
2025-07,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0,33.9876502,20825.01367
2025-08,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0,15.51364209,21676.35156
2024-01,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0,214.2447052,19071.18945
2024-02,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0,167.3125,19177.75195
2024-03,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0,167.5511017,19242.17969
2024-04,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0,207.5189056,21760.42188
2024-05,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0,249.3916016,17294.25977
2024-06,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0,177.5121002,20767.12305
2024-07,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0,161.8731995,18301.68164
2024-08,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0,134.4179993,18277.73438
2024-09,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0,184.3975067,18832.98242
2024-10,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0,162.1873932,18159.27344
2024-11,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0,131.9302429,15723.17578
2024-12,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0,167.7065781,18447.23633
2025-01,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0,170.6004668,19712.01172
2025-02,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0,157.7145646,20249.04883
2025-03,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0,215.599536,19074.80469
2025-04,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0,160.1888855,18465.46289
2025-05,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0,181.8836606,17795.04102
2025-06,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0,214.3716001,17349.2832
2025-07,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0,162.2821803,18211.29883
2025-08,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0,270.7862513,20366.72266
2024-01,3 CORDILLERAS ROSADA BOTELLA NO RETORNABLE 300.0,358.5372925,16087.74414
2024-02,3 CORDILLERAS ROSADA BOTELLA NO RETORNABLE 300.0,406.4364929,16183.24609
2024-03,3 CORDILLERAS ROSADA BOTELLA NO RETORNABLE 300.0,482.6702881,16326.87402
2024-04,3 CORDILLERAS ROSADA BOTELLA NO RETORNABLE 300.0,557.3812256,15416.84375
2024-05,3 CORDILLERAS ROSADA BOTELLA NO RETORNABLE 300.0,611.1538086,16085.18652
2024-06,3 CORDILLERAS ROSADA BOTELLA NO RETORNABLE 300.0,624.5233154,15993.4668
2024-07,3 CORDILLERAS ROSADA BOTELLA NO RETORNABLE 300.0,805.6879272,15534.68262
2024-08,3 CORDILLERAS ROSADA BOTELLA NO RETORNABLE 300.0,787.2794189,17639.23828
2024-09,3 CORDILLERAS ROSADA BOTELLA NO RETORNABLE 300.0,804.8560181,16562.09961
2024-10,3 CORDILLERAS ROSADA BOTELLA NO RETORNABLE 300.0,833.21698,16771.75781
2024-11,3 CORDILLERAS ROSADA BOTELLA NO RETORNABLE 300.0,783.9363339,15959.87891
2024-12,3 CORDILLERAS ROSADA BOTELLA NO RETORNABLE 300.0,1198.305562,14796.31152
2025-01,3 CORDILLERAS ROSADA BOTELLA NO RETORNABLE 300.0,951.6318686,15832.96484
2025-02,3 CORDILLERAS ROSADA BOTELLA NO RETORNABLE 300.0,767.1629511,16976.42773
