sku,sellin_sku,segment,capacity
AGUILA 0 BOTELLA RETORNABLE 330.0,Aguila 0.0% RB 330,Core,330
AGUILA 0 LATA NO RETORNABLE 330.0,Aguila 0.0% CAN 330,Core,330
AGUILA CERO BOTELLA RETORNABLE 330.0,Aguila Cero RB 330,Core,330
AGUILA CERO LATA NO RETORNABLE 330.0,Aguila Cero CAN 330,Core,330
AGUILA CTE BOTELLA NO RETORNABLE 330.0,Aguila NRB 330,Core,330
AGUILA CTE BOTELLA RETORNABLE 1000.0,Aguila RB 1000,Core,1000
AGUILA CTE BOTELLA RETORNABLE 250.0,Aguila RB 250,Core,250
AGUILA CTE BOTELLA RETORNABLE 330.0,Aguila RB 330,Core,330
AGUILA CTE BOTELLA RETORNABLE 750.0,Aguila RB 750,Core,750
AGUILA CTE LATA NO RETORNABLE 269.0,Aguila CAN 269,Core,269
AGUILA CTE LATA NO RETORNABLE 330.0,Aguila CAN 330,Core,330
AGUILA CTE LATA NO RETORNABLE 473.0,Aguila CAN 473,Core,473
AGUILA IMPERIAL BOTELLA NO RETORNABLE 330.0,Aguila Imperial NRB 330,Core,330
AGUILA IMPERIAL BOTELLA RETORNABLE 330.0,Aguila Imperial RB 330,Core,330
AGUILA LIGHT BOTELLA NO RETORNABLE 330.0,Aguila Light NRB 330,Core,330
AGUILA LIGHT BOTELLA RETORNABLE 1000.0,Aguila Light RB 1000,Core,1000
AGUILA LIGHT BOTELLA RETORNABLE 250.0,Aguila Light RB 250,Core,250
AGUILA LIGHT BOTELLA RETORNABLE 330.0,Aguila Light RB 330,Core,330
AGUILA LIGHT BOTELLA RETORNABLE 750.0,Aguila Light RB 750,Core,750
AGUILA LIGHT LATA NO RETORNABLE 269.0,Aguila Light CAN 269,Core,269
AGUILA LIGHT LATA NO RETORNABLE 330.0,Aguila Light CAN 330,Core,330
AGUILA LIGHT LATA NO RETORNABLE 473.0,Aguila Light CAN 473,Core,473
AUSTEN OTRAS LATA NO RETORNABLE 330.0,Austen CAN 330,Value,330
AZTECA CTE LATA NO RETORNABLE 330.0,Azteca CAN 330,Value,330
BAHIA CTE LATA NO RETORNABLE 330.0,Bahia CAN 330,Value,330
BECK'S CTE BOTELLA NO RETORNABLE 275.0,Beck's NRB 275,Premium,275
BECK'S CTE LATA NO RETORNABLE 269.0,Beck's CAN 269,Premium,269
BECK'S CTE LATA NO RETORNABLE 330.0,Beck's CAN 330,Premium,330
BOGOTA BEER COMPANY ROSE BOTELLA NO RETORNABLE 330.0,BBC Rose NRB 330,Super Premium,330
BOGOTA BEER COMPANY ROSE LATA NO RETORNABLE 269.0,BBC Rose CAN 269,Super Premium,269
BUDWEISER T. BOTELLA NO RETORNABLE 250.0,Budweiser NRB 250,Core+,250
BUDWEISER T. BOTELLA RETORNABLE 330.0,Budweiser RB 330,Core+,330
BUDWEISER T. LATA NO RETORNABLE 269.0,Budweiser CAN 269,Core+,269
BUDWEISER T. LATA NO RETORNABLE 355.0,Budweiser CAN 355,Core+,355
BUSCH LIGHT LATA NO RETORNABLE 330.0,Busch Light CAN 330,Value,330
