year_month,sku,price_per_unit
2024-09,AGUILA 0 BOTELLA RETORNABLE 330.0,1578
2024-10,AGUILA 0 BOTELLA RETORNABLE 330.0,2197
2024-11,AGUILA 0 BOTELLA RETORNABLE 330.0,1824
2024-12,AGUILA 0 BOTELLA RETORNABLE 330.0,1875
2025-02,AGUILA 0 BOTELLA RETORNABLE 330.0,1655
2025-04,AGUILA 0 BOTELLA RETORNABLE 330.0,1782
2025-05,AGUILA 0 BOTELLA RETORNABLE 330.0,1694
2025-06,AGUILA 0 BOTELLA RETORNABLE 330.0,1875
2025-07,AGUILA 0 BOTELLA RETORNABLE 330.0,1803
2025-08,AGUILA 0 BOTELLA RETORNABLE 330.0,2162
2024-09,AGUILA 0 LATA NO RETORNABLE 330.0,2267
2024-10,AGUILA 0 LATA NO RETORNABLE 330.0,2275
2024-11,AGUILA 0 LATA NO RETORNABLE 330.0,1929
2024-12,AGUILA 0 LATA NO RETORNABLE 330.0,2216
2025-01,AGUILA 0 LATA NO RETORNABLE 330.0,1890
2025-02,AGUILA 0 LATA NO RETORNABLE 330.0,1591
2025-03,AGUILA 0 LATA NO RETORNABLE 330.0,1301
2025-04,AGUILA 0 LATA NO RETORNABLE 330.0,2068
2025-05,AGUILA 0 LATA NO RETORNABLE 330.0,1868
2025-06,AGUILA 0 LATA NO RETORNABLE 330.0,1879
2025-07,AGUILA 0 LATA NO RETORNABLE 330.0,1290
2025-08,AGUILA 0 LATA NO RETORNABLE 330.0,1635
2024-09,AGUILA CERO BOTELLA RETORNABLE 330.0,2365
2024-10,AGUILA CERO BOTELLA RETORNABLE 330.0,2577
2024-12,AGUILA CERO BOTELLA RETORNABLE 330.0,2760
2025-01,AGUILA CERO BOTELLA RETORNABLE 330.0,2959
2025-06,AGUILA CERO BOTELLA RETORNABLE 330.0,2263
2025-07,AGUILA CERO BOTELLA RETORNABLE 330.0,2575
2025-07,AGUILA CERO LATA NO RETORNABLE 330.0,3648.333333
2024-09,AGUILA CTE BOTELLA NO RETORNABLE 330.0,2801
2024-10,AGUILA CTE BOTELLA NO RETORNABLE 330.0,2281
2024-11,AGUILA CTE BOTELLA NO RETORNABLE 330.0,2611
