sku,brand,sub_brand,package,type,capacity
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,KAUFMANN,OTRAS,LATA,NO RETORNABLE,330
POKER CTE LATA NO RETORNABLE 330.0,POKER,CTE,LATA,NO RETORNABLE,330
AGUILA FUSION LATA NO RETORNABLE 269.0,AGUILA,FUSION,LATA,NO RETORNABLE,269
COSTENA BACANA LATA NO RETORNABLE 269.0,COSTENA,BACANA,LATA,NO RETORNABLE,269
AGUILA IMPERIAL BOTELLA NO RETORNABLE 330.0,AGUILA,IMPERIAL,BOTELLA,NO RETORNABLE,330
CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA NO RETORNABLE 330.0,CLUB COLOMBIA,PREMIUM/EXTRA FINA,BOTELLA,NO RETORNABLE,330
COSTENA CTE BOTELLA RETORNABLE 750.0,COSTENA,CTE,BOTELLA,RETORNABLE,750
COSTENA CTE LATA NO RETORNABLE 330.0,COSTENA,CTE,LATA,NO RETORNABLE,330
AGUILA LIGHT LATA NO RETORNABLE 473.0,AGUILA,LIGHT,LATA,NO RETORNABLE,473
AGUILA CTE LATA NO RETORNABLE 330.0,AGUILA,CTE,LATA,NO RETORNABLE,330
COSTENA BACANA LATA NO RETORNABLE 473.0,COSTENA,BACANA,LATA,NO RETORNABLE,473
CLUB COLOMBIA DOBLE MALTA BOTELLA RETORNABLE 330.0,CLUB COLOMBIA,DOBLE MALTA,BOTELLA,RETORNABLE,330
BOGOTA BEER COMPANY ROSE BOTELLA NO RETORNABLE 330.0,BOGOTA BEER COMPANY,ROSE,BOTELLA,NO RETORNABLE,330
STELLA ARTOIS T. LATA NO RETORNABLE 330.0,STELLA ARTOIS,T.,LATA,NO RETORNABLE,330
POKER CTE LATA NO RETORNABLE 355.0,POKER,CTE,LATA,NO RETORNABLE,355
PILSEN CTE BOTELLA RETORNABLE 300.0,PILSEN,CTE,BOTELLA,RETORNABLE,300
POKER CTE BOTELLA RETORNABLE 330.0,POKER,CTE,BOTELLA,RETORNABLE,330
BOGOTA BEER COMPANY ROSE LATA NO RETORNABLE 269.0,BOGOTA BEER COMPANY,ROSE,LATA,NO RETORNABLE,269
COSTENA BACANA BOTELLA RETORNABLE 320.0,COSTENA,BACANA,BOTELLA,RETORNABLE,320
REDD'S CTE LATA NO RETORNABLE 269.0,REDD'S,CTE,LATA,NO RETORNABLE,269
AGUILA CTE LATA NO RETORNABLE 355.0,AGUILA,CTE,LATA,NO RETORNABLE,355
COSTENITA CTE BOTELLA RETORNABLE 175.0,COSTENITA,CTE,BOTELLA,RETORNABLE,175
PILSEN CTE BOTELLA RETORNABLE 1000.0,PILSEN,CTE,BOTELLA,RETORNABLE,1000
BOGOTA BEER COMPANY MONSERRATE BOTELLA NO RETORNABLE 330.0,BOGOTA BEER COMPANY,MONSERRATE,BOTELLA,NO RETORNABLE,330
CLUB COLOMBIA ROJA LATA NO RETORNABLE 330.0,CLUB COLOMBIA,ROJA,LATA,NO RETORNABLE,330
PILSEN CTE LATA NO RETORNABLE 355.0,PILSEN,CTE,LATA,NO RETORNABLE,355
AGUILA 0 LATA NO RETORNABLE 355.0,AGUILA,0,LATA,NO RETORNABLE,355
POKER LIGERA BOTELLA RETORNABLE 330.0,POKER,LIGERA,BOTELLA,RETORNABLE,330
CORONA CERO LATA NO RETORNABLE 269.0,CORONA,CERO,LATA,NO RETORNABLE,269
CLUB COLOMBIA OKTOBERFEST BOTELLA RETORNABLE 330.0,CLUB COLOMBIA,OKTOBERFEST,BOTELLA,RETORNABLE,330
POKER CTE BOTELLA RETORNABLE 750.0,POKER,CTE,BOTELLA,RETORNABLE,750
AGUILA IMPERIAL BOTELLA RETORNABLE 330.0,AGUILA,IMPERIAL,BOTELLA,RETORNABLE,330
BUDWEISER T. LATA NO RETORNABLE 269.0,BUDWEISER,T.,LATA,NO RETORNABLE,269
STELLA ARTOIS T. BARRIL NO RETORNABLE null.0,STELLA ARTOIS,T.,BARRIL,NO RETORNABLE,null
POKER CTE BOTELLA NO RETORNABLE 330.0,POKER,CTE,BOTELLA,NO RETORNABLE,330
PILSEN CTE LATA NO RETORNABLE 473.0,PILSEN,CTE,LATA,NO RETORNABLE,473
AGUILA CTE BOTELLA RETORNABLE 250.0,AGUILA,CTE,BOTELLA,RETORNABLE,250
CLUB COLOMBIA OKTOBERFEST LATA NO RETORNABLE 330.0,CLUB COLOMBIA,OKTOBERFEST,LATA,NO RETORNABLE,330
AGUILA CERO BOTELLA RETORNABLE 330.0,AGUILA,CERO,BOTELLA,RETORNABLE,330
POKER CTE LATA NO RETORNABLE 473.0,POKER,CTE,LATA,NO RETORNABLE,473
CLUB COLOMBIA NEGRA LATA NO RETORNABLE 355.0,CLUB COLOMBIA,NEGRA,LATA,NO RETORNABLE,355
BUDWEISER T. LATA NO RETORNABLE 355.0,BUDWEISER,T.,LATA,NO RETORNABLE,355
BOGOTA BEER COMPANY OTRAS BARRIL NO RETORNABLE null.0,BOGOTA BEER COMPANY,OTRAS,BARRIL,NO RETORNABLE,null
CORONITA EXTRA BOTELLA NO RETORNABLE 207.0,CORONITA,EXTRA,BOTELLA,NO RETORNABLE,207
BUDWEISER T. BOTELLA NO RETORNABLE 250.0,BUDWEISER,T.,BOTELLA,NO RETORNABLE,250
POKER LIGERA LATA NO RETORNABLE 330.0,POKER,LIGERA,LATA,NO RETORNABLE,330
CLUB COLOMBIA NEGRA BOTELLA RETORNABLE 330.0,CLUB COLOMBIA,NEGRA,BOTELLA,RETORNABLE,330
CLUB COLOMBIA PREMIUM/EXTRA FINA LATA NO RETORNABLE 330.0,CLUB COLOMBIA,PREMIUM/EXTRA FINA,LATA,NO RETORNABLE,330
CUSQUENA CTE BOTELLA NO RETORNABLE 310.0,CUSQUENA,CTE,BOTELLA,NO RETORNABLE,310
POKER CTE BOTELLA RETORNABLE 250.0,POKER,CTE,BOTELLA,RETORNABLE,250
CORONA EXTRA BOTELLA NO RETORNABLE 210.0,CORONA,EXTRA,BOTELLA,NO RETORNABLE,210
POKER CTE BOTELLA RETORNABLE 1000.0,POKER,CTE,BOTELLA,RETORNABLE,1000
BECK'S CTE LATA NO RETORNABLE 330.0,BECK'S,CTE,LATA,NO RETORNABLE,330
PILSEN CTE BOTELLA RETORNABLE 330.0,PILSEN,CTE,BOTELLA,RETORNABLE,330
