year_month,sku,reference_volume,reference_price,capacity,markup,discount,excise,vilc,nr,maco,segment,sellin_sku,sellout_volume,reference_price_unit
2024-08,AGUILA 0 BOTELLA RETORNABLE 330.0,162.71,5151.515152,330,0.363636426,-0.007814889,0,-19018028.02,51250295.9,32232267.88,Core,Aguila 0.0% RB 330,207.0830994,1700
2024-09,AGUILA 0 BOTELLA RETORNABLE 330.0,92.41,5151.515152,330,0.363636426,-0.006787485,0,-10823495.5,29137385.49,18313889.99,Core,Aguila 0.0% RB 330,263.973114,1700
2024-10,AGUILA 0 BOTELLA RETORNABLE 330.0,58.83,5151.515152,330,0.363636426,-0.009609437,0,-6938844.207,18496721.97,11557877.76,Core,Aguila 0.0% RB 330,158.4631958,1700
2024-10,BUDWEISER T. BOTELLA NO RETORNABLE 250.0,3029.27,10000,250,0.224489596,-0.070687784,-0.194489601,-959239654.3,1527630907,568391252.6,Core+,Budweiser NRB 250,5846.753418,2500
2024-09,BUDWEISER T. LATA NO RETORNABLE 355.0,0,9295.774648,355,0.20456244,0,0,0,0,0,Core+,Budweiser CAN 355,14.62800026,3300
2024-08,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA RETORNABLE 330.0,32300.17,9090.909091,330,0.216216052,-0.043896955,-0.246300571,-3903738887,14400976419,10497237532,Core+,Club Colombia RB 330,57399.29688,3000
2024-09,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA RETORNABLE 330.0,35560.98,9191.919192,330,0.216306392,-0.065032644,-0.237115798,-4309786562,15759884154,11450097592,Core+,Club Colombia RB 330,53641.95703,3033.333333
2024-10,CORONA CERO BOTELLA NO RETORNABLE 330.0,1400.39,13636.36364,330,0.270588439,-0.20528447,0,-577419504.1,1003708065,426288561.4,Super Premium,Corona Cero NRB 330,1054.611328,4500
2024-08,CORONA EXTRA LATA NO RETORNABLE 269.0,4828.56,11152.41636,269,0.200000096,-0.099895135,-0.162508938,-1752076917,2781485978,1029409062,Super Premium,Corona Extra CAN 269,4023.825439,3000
2024-09,KAUFMANN OTRAS LATA NO RETORNABLE 330.0,188.26,4545.454545,330,0.2,-0.006638505,-0.123649564,-46870311.71,52117382.27,5247070.555,Value,Kaufmann CAN 330,910.3446045,1500
2024-10,MODELO ESPECIAL BOTELLA NO RETORNABLE 355.0,976.65,18309.85915,355,0.180030219,-0.227251403,-0.147750144,-702197544.1,795907889.3,93710345.13,Premium,Modelo Especial NRB 355,1723.974243,6500
2024-08,POKER CTE LATA NO RETORNABLE 330.0,53040.79,9090.909091,330,0.196013338,-0.12888543,-0.198894403,-13336390491,22774342699,9437952208,Core,Poker CAN 330,50178.64063,3000
2024-09,POKER CTE LATA NO RETORNABLE 330.0,54922.36,9090.909091,330,0.168831274,-0.11766639,-0.196936847,-13761624069,24603663005,10842038936,Core,Poker CAN 330,58639.39063,3000
2024-10,POKER CTE LATA NO RETORNABLE 330.0,58851.47,9090.909091,330,0.1428573,-0.190805599,-0.194991265,-14713641243,24162267676,9448626434,Core,Poker CAN 330,57134.94531,3000
2024-08,STELLA ARTOIS T. LATA NO RETORNABLE 269.0,2164.01,14869.88848,269,0.235521129,-0.154282489,-0.148368129,-1290911413,1526230953,235319539.3,Super Premium,Stella Artois CAN 269,2193.805176,4000
2024-09,STELLA ARTOIS T. LATA NO RETORNABLE 269.0,2618.39,14869.88848,269,0.235521129,-0.337132015,-0.143691975,-1507413971,1374863313,-132550658.6,Super Premium,Stella Artois CAN 269,2786.981201,4000
2024-10,STELLA ARTOIS T. LATA NO RETORNABLE 269.0,3090.45,14869.88848,269,0.235521129,-0.208349926,-0.142993783,-1768877205,2027434953,258557748.2,Super Premium,Stella Artois CAN 269,2574.44458,4000
