year_month,sku,reference_volume,reference_price
2024-08,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,127.5472031,20339.11523
2024-09,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,136.6143951,18072.44727
2024-10,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,151.095993,18273.99805
2024-08,ANDINA CTE BOTELLA NO RETORNABLE 300.0,478.6741943,8617.837891
2024-09,ANDINA CTE BOTELLA NO RETORNABLE 300.0,331.3305969,8927.401367
2024-10,ANDINA CTE BOTELLA NO RETORNABLE 300.0,364.6202087,8989.276367
2024-08,ANDINA LIGHT LATA NO RETORNABLE 330.0,145.6488037,7607.319336
2024-09,ANDINA LIGHT LATA NO RETORNABLE 330.0,145.0312958,6174.334961
2024-10,ANDINA LIGHT LATA NO RETORNABLE 330.0,82.48280334,7242.532715
2024-09,COLA & POLA CTE BOTELLA NO RETORNABLE 400.0,0.930599988,6205.040039
2024-08,ERDINGER DUNKEL BOTELLA NO RETORNABLE 330.0,3.058199883,72107.35156
2024-10,ERDINGER DUNKEL BOTELLA NO RETORNABLE 330.0,1.370800018,45454.54297
2024-08,HOLLANDIA T. BOTELLA NO RETORNABLE 330.0,0.376199991,21011.95117
2024-09,HOLLANDIA T. BOTELLA NO RETORNABLE 330.0,0.444099993,13426.60645
2024-10,HOLLANDIA T. BOTELLA NO RETORNABLE 330.0,0.118799999,21320.20117
2024-08,OTRAS MARCAS T. BOTELLA NO RETORNABLE 500.0,8.699399948,38631.64453
2024-09,OTRAS MARCAS T. BOTELLA NO RETORNABLE 500.0,8.978300095,38748.59375
2024-10,OTRAS MARCAS T. BOTELLA NO RETORNABLE 500.0,6.326200008,37904.21094
2024-08,STEAM BREW T. LATA NO RETORNABLE 500.0,34.90140152,30081.68359
2024-09,STEAM BREW T. LATA NO RETORNABLE 500.0,30.4545002,30203.67969
2024-10,STEAM BREW T. LATA NO RETORNABLE 500.0,25.58659935,30939.36133
