sku,reference_volume,reference_price
AGUILA 0 BOTELLA RETORNABLE 330.0,146.0668807,9882.637044
AGUILA 0 LATA NO RETORNABLE 330.0,1908.285854,8119.639974
AGUILA 0 LATA NO RETORNABLE 355.0,0.522846337,4576.570801
AGUILA CERO BOTELLA RETORNABLE 330.0,0.954765974,7725.933105
AGUILA CERO LATA NO RETORNABLE 330.0,24.96337984,8662.55599
AGUILA CERO LATA NO RETORNABLE 355.0,0.133952664,8129.153971
AGUILA CTE BOTELLA NO RETORNABLE 330.0,2557.229201,8446.163737
AGUILA CTE BOTELLA NO RETORNABLE 500.0,3.731525425,2999.40625
AGUILA CTE BOTELLA RETORNABLE 1000.0,78216.29459,6418.955241
AGUILA CTE BOTELLA RETORNABLE 250.0,1312.53848,11926.15462
AGUILA CTE BOTELLA RETORNABLE 330.0,467958.6401,9263.900391
AGUILA CTE BOTELLA RETORNABLE 750.0,26388.55144,7866.646159
AGUILA CTE LATA NO RETORNABLE 269.0,13193.09922,9228.290039
AGUILA CTE LATA NO RETORNABLE 330.0,72254.69357,9589.21224
AGUILA CTE LATA NO RETORNABLE 355.0,32.35128064,9008.68929
AGUILA CTE LATA NO RETORNABLE 473.0,9688.271092,8449.887044
AGUILA FUSION BOTELLA RETORNABLE 330.0,0.269151002,8315.165039
AGUILA FUSION LATA NO RETORNABLE 269.0,2.36659385,9293.680664
AGUILA IMPERIAL BOTELLA NO RETORNABLE 330.0,183.4452565,10990.52539
AGUILA IMPERIAL BOTELLA RETORNABLE 330.0,1213.353951,10746.27148
AGUILA LIGHT BOTELLA NO RETORNABLE 300.0,1.092346505,9666.666992
AGUILA LIGHT BOTELLA NO RETORNABLE 330.0,90.37730843,9819.084635
AGUILA LIGHT BOTELLA RETORNABLE 1000.0,43785.66112,6354.064941
AGUILA LIGHT BOTELLA RETORNABLE 250.0,3060.913264,11187.9528
AGUILA LIGHT BOTELLA RETORNABLE 330.0,200359.2505,9836.569661
AGUILA LIGHT BOTELLA RETORNABLE 750.0,21759.64561,7273.473145
AGUILA LIGHT LATA NO RETORNABLE 269.0,13049.05636,8688.128581
AGUILA LIGHT LATA NO RETORNABLE 296.0,74.49514868,9612.679036
AGUILA LIGHT LATA NO RETORNABLE 330.0,18706.13456,9844.107422
AGUILA LIGHT LATA NO RETORNABLE 473.0,15736.89491,8429.06543
AUSTEN OTRAS LATA NO RETORNABLE 330.0,3587.450912,5226.571777
