SKU OG,SKU AC
brand82 sub_brand36 LATA NO RETORNABLE 330.0,COLA & POLA LIMONADA DE COCO LATA NO RETORNABLE 330.0
brand89 sub_brand3 BOTELLA NO RETORNABLE 1500.0,ANDINA COLOMBIANA CTE BOTELLA NO RETORNABLE 1500.0
brand82 sub_brand3 BOTELLA NO RETORNABLE 330.0,COLA & POLA CTE BOTELLA NO RETORNABLE 330.0
brand82 sub_brand39 LATA NO RETORNABLE 330.0,COLA & POLA LIMA LIMON LATA NO RETORNABLE 330.0
brand82 sub_brand3 BOTELLA NO RETORNABLE 400.0,COLA & POLA CTE BOTELLA NO RETORNABLE 400.0
brand82 sub_brand35 LATA NO RETORNABLE 330.0,COLA & POLA LULO LATA NO RETORNABLE 330.0
brand89 sub_brand3 LATA NO RETORNABLE 310.0,ANDINA COLOMBIANA CTE LATA NO RETORNABLE 310.0
brand82 sub_brand3 BOTELLA RETORNABLE 330.0,COLA & POLA CTE BOTELLA RETORNABLE 330.0
brand82 sub_brand26 BOTELLA RETORNABLE 330.0,COLA & POLA ROJA BOTELLA RETORNABLE 330.0
brand82 sub_brand3 BOTELLA NO RETORNABLE 1500.0,COLA & POLA CTE BOTELLA NO RETORNABLE 1500.0
brand89 sub_brand3 BOTELLA NO RETORNABLE 330.0,ANDINA COLOMBIANA CTE BOTELLA NO RETORNABLE 330.0
brand82 sub_brand3 LATA NO RETORNABLE 330.0,COLA & POLA CTE LATA NO RETORNABLE 330.0
brand14 sub_brand3 LATA NO RETORNABLE 310.0,ANDINA CTE LATA NO RETORNABLE 310.0
brand73 sub_brand15 LATA NO RETORNABLE 330.0,KAUFMANN OTRAS LATA NO RETORNABLE 330.0
brand12 sub_brand3 LATA NO RETORNABLE 330.0,POKER CTE LATA NO RETORNABLE 330.0
brand16 sub_brand30 LATA NO RETORNABLE 269.0,AGUILA FUSION LATA NO RETORNABLE 269.0
brand46 sub_brand37 LATA NO RETORNABLE 330.0,OTRAS MARCAS ESPECIAL LATA NO RETORNABLE 330.0
brand11 sub_brand2 BOTELLA NO RETORNABLE 500.0,BITBURGER T. BOTELLA NO RETORNABLE 500.0
brand19 sub_brand14 BOTELLA NO RETORNABLE 330.0,ERDINGER DUNKEL BOTELLA NO RETORNABLE 330.0
brand3 sub_brand12 LATA NO RETORNABLE 269.0,COSTENA BACANA LATA NO RETORNABLE 269.0
brand5 sub_brand2 LATA NO RETORNABLE 500.0,WEIDMANN T. LATA NO RETORNABLE 500.0
brand14 sub_brand5 LATA NO RETORNABLE 310.0,ANDINA LIGHT LATA NO RETORNABLE 310.0
brand16 sub_brand41 BOTELLA NO RETORNABLE 330.0,AGUILA IMPERIAL BOTELLA NO RETORNABLE 330.0
brand19 sub_brand3 LATA NO RETORNABLE 500.0,ERDINGER CTE LATA NO RETORNABLE 500.0
brand57 sub_brand25 BOTELLA NO RETORNABLE 300.0,MILLER LITE BOTELLA NO RETORNABLE 300.0
brand1 sub_brand1 BOTELLA NO RETORNABLE 330.0,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA NO RETORNABLE 330.0
brand14 sub_brand5 LATA NO RETORNABLE 330.0,ANDINA LIGHT LATA NO RETORNABLE 330.0
brand3 sub_brand3 BOTELLA RETORNABLE 750.0,COSTENA CTE BOTELLA RETORNABLE 750.0
brand14 sub_brand3 LATA NO RETORNABLE 473.0,ANDINA CTE LATA NO RETORNABLE 473.0
brand3 sub_brand3 LATA NO RETORNABLE 330.0,COSTENA CTE LATA NO RETORNABLE 330.0
brand16 sub_brand5 LATA NO RETORNABLE 473.0,AGUILA LIGHT LATA NO RETORNABLE 473.0
brand20 sub_brand3 LATA NO RETORNABLE 250.0,HEINEKEN CTE LATA NO RETORNABLE 250.0
brand14 sub_brand5 BOTELLA NO RETORNABLE 300.0,ANDINA LIGHT BOTELLA NO RETORNABLE 300.0
brand13 sub_brand2 BOTELLA NO RETORNABLE 750.0,DUVEL T. BOTELLA NO RETORNABLE 750.0
brand11 sub_brand2 BOTELLA NO RETORNABLE 330.0,BITBURGER T. BOTELLA NO RETORNABLE 330.0
brand16 sub_brand3 LATA NO RETORNABLE 330.0,AGUILA CTE LATA NO RETORNABLE 330.0
brand3 sub_brand12 LATA NO RETORNABLE 473.0,COSTENA BACANA LATA NO RETORNABLE 473.0
brand1 sub_brand10 BOTELLA RETORNABLE 330.0,CLUB COLOMBIA DOBLE MALTA BOTELLA RETORNABLE 330.0
brand41 sub_brand3 LATA NO RETORNABLE 330.0,POLA DEL PUB CTE LATA NO RETORNABLE 330.0
brand7 sub_brand40 BOTELLA NO RETORNABLE 330.0,BOGOTA BEER COMPANY ROSE BOTELLA NO RETORNABLE 330.0
brand46 sub_brand2 BOTELLA NO RETORNABLE 355.0,OTRAS MARCAS T. BOTELLA NO RETORNABLE 355.0
brand25 sub_brand2 LATA NO RETORNABLE 330.0,STELLA ARTOIS T. LATA NO RETORNABLE 330.0
brand9 sub_brand2 LATA NO RETORNABLE 500.0,HOLLANDIA T. LATA NO RETORNABLE 500.0
brand76 sub_brand2 BOTELLA NO RETORNABLE 330.0,APOSTOL T. BOTELLA NO RETORNABLE 330.0
brand12 sub_brand3 LATA NO RETORNABLE 355.0,POKER CTE LATA NO RETORNABLE 355.0
brand46 sub_brand2 BOTELLA NO RETORNABLE 250.0,OTRAS MARCAS T. BOTELLA NO RETORNABLE 250.0
brand15 sub_brand3 BOTELLA RETORNABLE 300.0,PILSEN CTE BOTELLA RETORNABLE 300.0
brand57 sub_brand25 BOTELLA NO RETORNABLE 250.0,MILLER LITE BOTELLA NO RETORNABLE 250.0
brand12 sub_brand3 BOTELLA RETORNABLE 330.0,POKER CTE BOTELLA RETORNABLE 330.0
brand7 sub_brand40 LATA NO RETORNABLE 269.0,BOGOTA BEER COMPANY ROSE LATA NO RETORNABLE 269.0
brand3 sub_brand12 BOTELLA RETORNABLE 320.0,COSTENA BACANA BOTELLA RETORNABLE 320.0
brand57 sub_brand25 BOTELLA RETORNABLE 330.0,MILLER LITE BOTELLA RETORNABLE 330.0
brand51 sub_brand3 LATA NO RETORNABLE 269.0,REDD'S CTE LATA NO RETORNABLE 269.0
brand22 sub_brand13 BOTELLA NO RETORNABLE 750.0,3 CORDILLERAS ROSADA BOTELLA NO RETORNABLE 750.0
brand16 sub_brand3 LATA NO RETORNABLE 355.0,AGUILA CTE LATA NO RETORNABLE 355.0
brand71 sub_brand3 BOTELLA RETORNABLE 175.0,COSTENITA CTE BOTELLA RETORNABLE 175.0
